X,Y,RockTypes,id
-76.21434275,3.670893461,Ultramafic,1
-76.21509302,3.676533881,Ultramafic,1
-76.21139168,3.672740328,Ultramafic,1
-76.21229201,3.676184476,Ultramafic,1
-76.20824055,3.675884985,Ultramafic,1
-76.21274217,3.680327418,Ultramafic,1
-76.20904084,3.678929801,Ultramafic,1
-76.20398902,3.67932912,Ultramafic,1
-76.20744026,3.682523669,Ultramafic,1
-76.21114159,3.684320597,Ultramafic,1
-76.21399262,3.686816325,Ultramafic,1
-76.21689366,3.688463501,Ultramafic,1
-76.2133924,3.690360246,Ultramafic,1
-76.20899082,3.687365384,Ultramafic,1
-76.20964105,3.691508274,Ultramafic,1
-76.20944098,3.695102091,Ultramafic,1
-76.21159176,3.693205356,Ultramafic,1
-76.21544314,3.693105528,Ultramafic,1
-76.21384257,3.695601231,Ultramafic,1
-76.21104156,3.698096927,Ultramafic,1
-76.21669359,3.696250113,Ultramafic,1
-76.21459284,3.698795721,Ultramafic,1
-76.2169937,3.699494514,Ultramafic,1
-76.21259212,3.701391236,Ultramafic,1
-76.21529309,3.701990199,Ultramafic,1
-76.21134167,3.704336137,Ultramafic,1
-76.21404264,3.704685532,Ultramafic,1
-76.2119919,3.707081376,Ultramafic,1
-76.21289222,3.709876519,Ultramafic,1
-76.21139168,3.712072696,Ultramafic,1
-76.20679003,3.689162303,Ultramafic,1
-76.20603976,3.685568462,Ultramafic,1
-76.20398902,3.682473754,Ultramafic,1
-76.20303868,3.685917864,Ultramafic,1
-76.20093792,3.678730141,Ultramafic,1
-76.2008879,3.683422133,Ultramafic,1
-76.19853706,3.680477162,Ultramafic,1
-76.19728661,3.677182777,Ultramafic,1
-76.19558599,3.681225885,Ultramafic,1
-76.19383536,3.678081247,Ultramafic,1
-76.19178463,3.675685325,Ultramafic,1
-76.19453562,3.674786852,Ultramafic,1
-76.19278499,3.672939989,Ultramafic,1
-76.19453562,3.671093122,Ultramafic,1
-76.20804048,3.67313965,Ultramafic,1
-76.21506801,3.730864765,Ultramafic,1
-76.21586829,3.732511859,Ultramafic,1
-76.21391759,3.732162476,Ultramafic,1
-76.21466786,3.733410273,Ultramafic,1
-76.2156182,3.735007451,Ultramafic,1
-76.21346743,3.734857716,Ultramafic,1
-76.21441777,3.736404979,Ultramafic,1
-76.21266714,3.737453124,Ultramafic,1
-76.21551817,3.737852417,Ultramafic,1
-76.21371752,3.739050295,Ultramafic,1
-76.21551817,3.740347994,Ultramafic,1
-76.2131173,3.740847108,Ultramafic,1
-76.21436775,3.742094893,Ultramafic,1
-76.21336739,3.743442499,Ultramafic,1
