X,Y,id
-8491248.979,456534.5525,2
-8490627.389,456574.6551,2
-8474085.084,456554.6038,3
-8466044.522,456554.6038,1
-8487780.108,456554.6038,2
-8484972.929,456574.6551,2
-8470495.905,456534.5525,1
-8467688.726,456534.5525,2
-8473443.443,456534.5525,1
-8464280.009,456534.5525,1
-8485293.749,456574.6551,2
-8475027.494,456494.4499,2
-8473623.905,456454.3474,2
-8473022.366,456494.4499,3
-8471518.521,456494.4499,3
-8470756.572,456494.4499,3
-8467027.034,456494.4499,2
-8465884.111,456514.5012,3
-8476611.545,456474.3987,2
-8474125.187,456514.5012,2
-8466044.522,456374.1423,2
-8489845.389,456494.4499,2
-8486075.749,456514.5012,3
-8477393.545,456434.2961,2
-8466886.675,456474.3987,1
-8480120.519,456494.4499,3
-8478837.237,456474.3987,2
-8469493.341,456494.4499,2
-8492391.902,456394.1935,3
-8485835.133,456434.2961,2
-8470054.777,456334.0397,3
-8464781.291,456374.1423,3
-8464219.855,456474.3987,3
-8467809.034,456414.2448,3
-8487559.543,456394.1935,2
-8485674.723,456334.0397,3
-8475869.648,456494.4499,2
-8472661.443,456354.091,1
-8465082.06,456414.2448,2
-8486376.518,456313.9884,2
-8479559.083,456414.2448,2
-8470495.905,456414.2448,2
-8468651.188,456374.1423,3
-8462816.266,456253.8346,1
-8490687.543,456153.5782,2
-8471498.469,456293.9372,1
-8474686.623,456273.8859,2
-8471157.598,456193.6808,3
-8463177.189,456334.0397,2
-8474826.982,456173.6295,3
-8465783.855,456193.6808,3
-8475228.007,456173.6295,2
-8472801.802,456093.4244,1
-8471638.828,456093.4244,3
-8466626.009,456113.4756,3
-8465864.06,456073.3731,2
-8464941.701,456033.2705,2
-8476110.263,456093.4244,3
-8473042.418,456013.2193,1
-8488341.543,456173.6295,2
-8471658.88,455892.9116,2
-8468711.342,455973.1167,3
-8474365.802,456053.3218,2
-8476892.263,456173.6295,2
-8466365.342,456173.6295,2
-8489644.876,456093.4244,2
-8478295.853,456013.2193,2
-8475268.11,455993.168,3
-8469854.264,456213.732,1
-8462876.42,455933.0141,2
-8473844.469,455812.7065,3
-8467989.496,456213.732,1
-8490065.953,455832.7577,3
-8475488.674,455812.7065,1
-8468972.008,455933.0141,2
-8463798.778,455933.0141,1
-8462996.727,455852.809,3
-8492512.209,455712.4501,2
-8491409.389,456113.4756,3
-8488261.338,455732.5014,2
-8473303.084,455832.7577,1
-8469733.957,456013.2193,2
-8466906.727,456153.5782,3
-8482266.006,455852.809,2
-8474185.341,455792.6552,3
-8471358.11,455692.3988,1
-8469493.341,455973.1167,3
-8468911.854,455772.6039,1
-8466124.727,455732.5014,3
-8464119.599,455772.6039,3
-8491890.62,455973.1167,3
-8467187.444,455852.809,3
-8489945.646,455572.0911,2
-8470556.059,455592.1424,3
-8462836.317,455652.2962,3
-8491529.697,455531.9886,3
-8470816.726,455832.7577,2
-8468731.393,455632.245,3
-8468089.752,455852.809,3
-8492071.081,455612.1937,2
-8490146.158,455592.1424,3
-8474826.982,455632.245,2
-8463197.24,455592.1424,3
-8487238.723,455552.0398,3
-8462876.42,455491.886,3
-8472841.905,455652.2962,3
-8491188.825,455592.1424,2
-8487058.261,455531.9886,2
-8480822.314,455712.4501,3
-8478556.519,455511.9373,2
-8467708.778,455872.8603,2
-8471698.982,455572.0911,3
-8490747.697,455471.8347,2
-8474446.007,455592.1424,2
-8470335.495,455852.809,2
-8491168.774,455391.6296,3
-8488141.031,455612.1937,3
-8475769.392,455692.3988,2
-8470415.7,455491.886,2
-8485815.082,455471.8347,2
-8466064.573,455431.7322,3
-8464099.548,455872.8603,2
-8489304.005,455291.3732,3
-8469914.418,455612.1937,3
-8468129.855,455311.4245,3
-8466826.521,455531.9886,2
-8469152.47,455371.5783,1
-8462916.522,455371.5783,3
-8491790.363,455251.2707,2
-8472039.854,455812.7065,1
-8469152.47,455251.2707,2
-8487519.441,455291.3732,3
-8462956.625,455251.2707,3
-8466305.188,455331.4758,2
-8476370.93,455692.3988,2
-8471719.033,455211.1681,1
-8464801.342,455130.963,3
-8489023.287,455311.4245,2
-8487218.672,455171.0656,2
-8485995.544,455151.0143,3
-8476932.366,455090.8604,3
-8491349.235,454990.604,3
-8469934.47,455231.2194,2
-8463157.137,455130.963,2
-8492512.209,455090.8604,2
-8489604.774,455070.8092,3
-8471638.828,455110.9117,3
-8486356.467,455050.7579,2
-8480802.263,455151.0143,3
-8476290.725,455171.0656,2
-8469994.623,455090.8604,3
-8469754.008,455050.7579,2
-8464520.624,455070.8092,2
-8463437.855,454950.5015,2
-8463157.137,455812.7065,1
-8473603.854,454970.5528,1
-8468570.983,455772.6039,2
-8469172.521,455110.9117,1
-8469653.752,455451.7835,1
-8468911.854,454910.3989,2
-8475328.264,455090.8604,2
-8491048.466,455130.963,2
-8484692.211,454990.604,2
-8473343.187,454810.1425,3
-8479920.006,454830.1938,3
-8467347.855,454790.0913,3
-8489604.774,454910.3989,2
-8487760.056,454930.4502,2
-8480521.545,455391.6296,2
-8491128.671,454850.2451,3
-8483910.211,454890.3477,3
-8471618.777,454870.2964,3
-8469553.495,454830.1938,3
-8468310.316,454890.3477,3
-8466245.034,454830.1938,2
-8492191.389,454830.1938,2
-8490527.133,454970.5528,2
-8485434.108,454830.1938,2
-8480802.263,454729.9374,3
-8478255.75,455130.963,2
-8472922.11,454910.3989,1
-8463177.189,454810.1425,1
-8489905.543,454790.0913,3
-8486677.287,454990.604,2
-8471959.649,454749.9887,3
-8470094.88,454709.8861,3
-8464159.701,455070.8092,2
-8490086.005,454669.7836,2
-8469413.136,454669.7836,1
-8468831.649,454749.9887,1
-8488501.954,454609.6298,2
-8487118.415,454649.7323,3
-8479178.109,454649.7323,3
-8463076.932,454649.7323,3
-8480381.186,454589.5785,2
-8479037.75,454649.7323,2
-8463117.035,454609.6298,3
-8464921.65,455511.9373,2
-8474987.392,454649.7323,3
-8478556.519,454549.4759,3
-8472541.136,454549.4759,3
-8487379.082,454549.4759,3
-8475488.674,454549.4759,2
-8473904.623,454529.4246,2
-8468350.419,454649.7323,1
-8465643.496,454589.5785,3
-8490306.569,454489.3221,3
-8475147.802,454589.5785,2
-8470335.495,454569.5272,1
-8489524.569,454569.5272,2
-8476070.161,454689.8349,2
-8467508.265,454549.4759,2
-8464460.471,454369.0144,2
-8477934.93,454409.117,2
-8470556.059,454489.3221,1
-8486196.057,454469.2708,2
-8485153.39,454629.681,2
-8470355.546,454810.1425,2
-8468009.547,454429.1682,3
-8463157.137,454449.2195,3
-8484251.082,454509.3734,3
-8474105.136,454369.0144,2
-8472140.11,454389.0657,2
-8469834.213,454369.0144,3
-8467107.239,454770.04,2
-8465262.522,454409.117,2
-8484952.877,454328.9119,3
-8483328.724,454509.3734,2
-8465743.752,454268.758,2
-8463658.419,454469.2708,2
-8484391.441,454328.9119,2
-8477553.955,454389.0657,3
-8471538.572,454288.8093,1
-8485113.287,454268.758,3
-8478195.596,454268.758,2
-8469513.393,454609.6298,2
-8473684.059,454629.681,2
-8490507.081,454348.9631,2
-8491068.517,454409.117,3
-8471899.495,454369.0144,1
-8480661.904,454288.8093,3
-8479518.981,454248.7067,3
-8473583.802,454288.8093,3
-8470856.828,455371.5783,1
-8489464.415,454248.7067,3
-8473964.777,454288.8093,3
-8488161.082,454308.8606,2
-8479218.212,454228.6555,2
-8477132.879,454268.758,2
