X,Y,RockTypes,id
-76.1583225821557,3.89356260193174,Felsic,3
-76.2018132356323,3.71763798531435,Mafic,2
-76.193835364178,3.67808124668207,Ultramafic,1
-76.1917846260612,3.67568532454804,Ultramafic,1
-76.2469794922044,3.78985875809997,Mafic,2
-76.224546417927,3.94685683811603,Felsic,3
-76.1881083028518,3.72222994637423,Mafic,2
-76.1877331678306,3.97320328990226,Felsic,3
-76.1769292792153,3.8276886640012,Felsic,3
-76.2196196446463,3.70975173553815,Mafic,2
-76.1729278389874,3.87479903172502,Felsic,3
-76.221720400766,3.71943484249159,Mafic,2
-76.2009379205825,3.67873014115185,Ultramafic,1
-76.2113416651749,3.70433613716962,Ultramafic,1
-76.2133673942903,3.74344249873733,Ultramafic,1
-76.1315129326289,3.9869749642608,Felsic,3
-76.2553825166829,3.82219893923397,Mafic,2
-76.2140426373287,3.70468553161336,Ultramafic,1
-76.1725276949646,3.88278358067326,Felsic,3
-76.2157182404242,3.72302854585452,Mafic,2
-76.2113916831778,3.71207269611036,Ultramafic,1
-76.2100662061023,3.76510372780326,Ultramafic,1
-76.2033137757177,3.7432927648709,Mafic,2
-76.2058146758601,3.77029435714636,Ultramafic,1
-76.1750786131099,3.9467071399738,Mafic,2
-76.1743283430672,3.7322622997018,Felsic,3
-76.2057146398545,3.72562398916241,Mafic,2
-76.1969114713532,3.75087924853532,Mafic,2
-76.2393517467701,3.93468130114795,Felsic,3
-76.1635244544519,3.95504029547073,Felsic,3
-76.2127421692547,3.68032741783355,Ultramafic,1
-76.197311615376,3.74139613368053,Mafic,2
-76.1339137967657,3.86322130192353,Felsic,3
-76.2103663141193,3.77982706682886,Ultramafic,1
-76.2139926193259,3.68681632488711,Ultramafic,1
-76.189708878943,3.72901801885878,Mafic,2
-76.1557216460076,3.8779928603568,Felsic,3
-76.2299733712359,3.82978473144969,Mafic,2
-76.2281227051306,3.72682188349194,Mafic,2
-76.2156182044184,3.7350074510558,Ultramafic,1
-76.2079154319798,3.73101450079514,Mafic,2
-76.1627241664064,4.01591468658452,Felsic,3
-76.2058897028645,3.92909247045548,Mafic,2
-76.2448537270834,3.91082870933025,Mafic,2
-76.2424528629467,3.82259819312985,Mafic,2
-76.206039756873,3.68556846182103,Ultramafic,1
-76.2169936994968,3.69949451425512,Ultramafic,1
-76.1769042702138,3.76205920965272,Mafic,2
-76.2035138477291,3.7872635058306,Ultramafic,1
-76.1141066676377,3.93707650282653,Felsic,3
-76.2255717869853,3.78965912358642,Mafic,2
-76.2155181684127,3.73785241703526,Ultramafic,1
-76.1689263987596,3.79415088899266,Felsic,3
-76.1945356162179,3.6747868520882,Ultramafic,1
-76.2237461298814,3.93767530216959,Felsic,3
-76.2455789881246,3.83178098139023,Mafic,2
-76.2062648378858,3.7827717046703,Ultramafic,1
-76.2031637217092,3.76814823530763,Ultramafic,1
-76.2030386767021,3.68591786365602,Ultramafic,1
-76.2067900269157,3.68916230270997,Ultramafic,1
-76.210466350125,3.78197315980348,Ultramafic,1
-76.2125921152461,3.70139123566391,Ultramafic,1
-76.2327493703941,3.94046969340712,Felsic,3
-76.1643247424975,3.97280410750279,Felsic,3
-76.1997124795126,3.73001626039388,Mafic,2
-76.2050894148189,3.9428648784248,Mafic,2
-76.1475186935404,3.95064918204871,Felsic,3
-76.2088907830353,3.89456065248031,Mafic,2
-76.1709271188735,3.91112811846423,Felsic,3
-76.2128922232632,3.70987651851971,Ultramafic,1
-76.2491052573255,3.90114775640324,Mafic,2
-76.1705269748507,3.76999489860308,Felsic,3
-76.186932879785,3.87140557559149,Felsic,3
-76.2156682224213,3.77149219028794,Ultramafic,1
-76.2144177723501,3.76864733388223,Ultramafic,1
-76.2271223450736,3.71703903210818,Mafic,2
-76.1789299993292,3.86960903448435,Felsic,3
-76.209165882051,3.76290768299374,Ultramafic,1
-76.2407522508499,3.92490082286112,Felsic,3
-76.2040140277576,3.77358839431322,Ultramafic,1
-76.1800804133947,3.89795401549065,Mafic,2
-76.2098661340909,3.75796656193665,Ultramafic,1
-76.207690350967,3.85803123380379,Mafic,2
-76.1867328077736,3.8478506235188,Felsic,3
-76.2138425653173,3.69560123127791,Ultramafic,1
-76.1797302873748,3.87919054298288,Felsic,3
-76.2063648738915,3.76131055601864,Ultramafic,1
-76.1399159571075,3.92390280842723,Felsic,3
-76.2082405489983,3.67588498497176,Ultramafic,1
-76.1383153810163,4.02808902215469,Felsic,3
-76.1517202057797,3.88857233144619,Felsic,3
-76.2080404769869,3.67313965022846,Ultramafic,1
-76.2034638297263,3.78147406888811,Ultramafic,1
-76.2152930874,3.70199019947553,Ultramafic,1
-76.1777295672609,3.72088230810927,Felsic,3
-76.2101162241051,3.77708205644666,Ultramafic,1
-76.1785298553065,3.79415088899266,Felsic,3
-76.1669256786456,3.75641933645572,Felsic,3
